ID,date,NDVI,OSAVI,EVI,NWVI
27611,1/1/2011,0.60709237,0.4254648,0.410229769,-0.014136629
27611,1/17/2011,0.562223092,0.395701608,0.379758901,0.048476474
27611,2/2/2011,0.454664214,0.320489534,0.297960687,0.156363146
27611,3/6/2011,0.430090961,0.311124364,0.301504052,0.171720748
27611,4/23/2011,0.407838353,0.302638288,0.303910236,0.171672676
27611,5/9/2011,0.43460654,0.326425393,0.337107329,0.121377486
27611,7/12/2011,0.515446399,0.387305322,0.408788006,0.032342648
27611,8/13/2011,0.592446405,0.445250903,0.482487804,-0.079875444
27611,8/29/2011,0.670841015,0.500644161,0.545894395,-0.181927923
27611,9/14/2011,0.72690238,0.539158961,0.585850529,-0.21954075
27611,9/30/2011,0.697514796,0.513801972,0.550811158,-0.175900353
27611,10/16/2011,0.696371677,0.518131681,0.553443719,-0.133389234
27611,11/17/2011,0.595632559,0.429427641,0.444901027,-0.058942523
27611,1/20/2012,0.491554785,0.34077262,0.333918181,0.026574501
27611,2/5/2012,0.346458861,0.228941309,0.203622808,0.149135037
27611,2/21/2012,0.295475863,0.193966856,0.176024259,0.166689844
27611,3/8/2012,0.324555954,0.221555202,0.214035589,0.128625537
27611,3/24/2012,0.408388386,0.291825396,0.299412539,0.04953648
27611,5/11/2012,0.496127021,0.366412201,0.384413864,-0.011378032
27611,6/12/2012,0.546098619,0.416299256,0.439863301,-0.034521593
27611,6/28/2012,0.536551804,0.401672417,0.417589669,-0.046404139
27611,7/14/2012,0.478274701,0.35368573,0.353190405,0.019429008
27611,7/30/2012,0.399669438,0.287484226,0.260868908,0.118027246
27611,8/31/2012,0.424139542,0.307298419,0.300792953,0.099855747
27611,9/16/2012,0.488337423,0.356842605,0.369051244,0.048575667
27611,10/2/2012,0.586496155,0.42897853,0.458996742,-0.044318959
27611,10/18/2012,0.672105286,0.490380175,0.527028403,-0.129922073
27611,11/3/2012,0.715653531,0.520788536,0.5574489,-0.180471626
27611,12/5/2012,0.675208039,0.488246353,0.508713153,-0.145208989
27611,12/21/2012,0.610894618,0.434310008,0.428597963,-0.066706535
27611,1/6/2013,0.538889006,0.377991816,0.348044325,0.02231592
27611,2/7/2013,0.439474728,0.310205885,0.282493004,0.10879
27611,2/23/2013,0.374158302,0.269872565,0.253728607,0.166218593
27611,3/27/2013,0.368293838,0.268750308,0.259461236,0.17274225
27611,4/12/2013,0.43466742,0.325466674,0.337613505,0.109150537
27611,5/14/2013,0.522985887,0.396741883,0.425116319,0.028268905
27611,5/22/2013,0.55866068,0.427297799,0.463370883,-0.013933254
27611,6/7/2013,0.626254567,0.475266321,0.510081079,-0.076489746
27611,6/23/2013,0.637755688,0.483519502,0.510112545,-0.092921655
27611,7/1/2013,0.601755191,0.448669992,0.451875803,-0.059836933
27611,7/9/2013,0.533569961,0.397189483,0.398627138,-0.02568497
27611,7/25/2013,0.501880698,0.368243875,0.363486935,-0.004118744
27611,8/2/2013,0.499149059,0.368737979,0.371081376,-0.011447098
27611,8/10/2013,0.486399119,0.359735476,0.361188451,0.005318188
27611,8/18/2013,0.501455641,0.3727011,0.380885728,0.000483652
27611,8/26/2013,0.565815849,0.421175187,0.441541877,-0.054086007
27611,9/3/2013,0.6461704,0.509075613,0.561321065,-0.12127595
27611,9/27/2013,0.725531204,0.531623175,0.570783422,-0.216947021
27611,10/5/2013,0.772919094,0.54339135,0.582596858,-0.303816926
27611,10/13/2013,0.828796244,0.56713675,0.603820971,-0.379347923
27611,10/21/2013,0.836275533,0.564940922,0.590903034,-0.393775422
27611,11/6/2013,0.803451908,0.537128794,0.541715261,-0.350115855
27611,11/14/2013,0.757374067,0.512379913,0.503071217,-0.280344249
27611,11/30/2013,0.670263804,0.468431096,0.454024062,-0.174445307
27611,12/16/2013,0.602564527,0.457228591,0.455485507,-0.082679735
27611,1/1/2014,0.541843283,0.388042547,0.360396998,-0.016453372
27611,1/17/2014,0.49780207,0.354504117,0.325056468,0.04124947
27611,2/18/2014,0.459488195,0.332630311,0.310010216,0.096700319
27611,3/6/2014,0.465469394,0.334012791,0.312311291,0.103412097
27611,3/22/2014,0.500952522,0.357802426,0.339054115,0.071896197
27611,4/7/2014,0.566220639,0.407743306,0.399636895,0.006438127
27611,5/9/2014,0.589631623,0.427571192,0.423423263,-0.033257121
27611,5/25/2014,0.611210159,0.446468157,0.448044695,-0.069858563
27611,6/10/2014,0.608248045,0.444025979,0.442511114,-0.078130562
27611,7/28/2014,0.545496901,0.401383588,0.40006364,-0.02730775
27611,8/5/2014,0.485378761,0.358891943,0.355936643,0.02414619
27611,8/13/2014,0.462941454,0.335187342,0.31198514,0.041300678
27611,8/21/2014,0.499645516,0.362350649,0.338116632,0.004203884
27611,8/29/2014,0.56333554,0.411241303,0.393029809,-0.046770628
27611,9/14/2014,0.636447321,0.467686999,0.457326807,-0.121004643
27611,9/30/2014,0.703888445,0.526093035,0.536416192,-0.18283559
27611,10/16/2014,0.754294029,0.551332487,0.557232348,-0.236392745
27611,11/1/2014,0.735095753,0.528645868,0.530250439,-0.221959527
27611,11/17/2014,0.719485315,0.502186811,0.489810623,-0.199201668
27611,12/3/2014,0.687746083,0.475437784,0.447707464,-0.157426335
27611,1/4/2015,0.65695767,0.45135308,0.418328072,-0.106777671
27611,2/5/2015,0.603246785,0.417354017,0.381522584,-0.033289284
27611,3/9/2015,0.562774836,0.399896702,0.371609807,0.007520992
27611,3/25/2015,0.491639744,0.366851616,0.355080237,0.05858524
27611,4/10/2015,0.434863659,0.322453058,0.304965135,0.100285056
27611,4/26/2015,0.408656604,0.307759786,0.293102116,0.102977172
27611,5/12/2015,0.435390216,0.325580864,0.309876144,0.061948621
