cuest_id_b,cuest_id,time,parcela,cultivo,age,gender,superf_parcela_has,Y,X,provparcela_cod,munparcela_cod,month_siembra,year_siembra,since_siembra,temporary_crop,month_harvest,year_harvest,VP_HA,treat_status_fu,patca
276,H0951,1. Follow-up1,11,pasto,47,Male,3.1439996,19.528879,-71.46013600000001,dajabón,partido,mayo,2014,2014,0,,,0,0. Pure Control,0
276,H0951,1. Follow-up1,11,pasto,47,Male,3.1439996,19.528879,-71.46013600000001,dajabón,partido,marzo,2008,2006,0,,,0,0. Pure Control,0
389,H1213,1. Follow-up1,11,mango,63,Male,1.6977597,18.291666,-70.325005,peravia,villa fundacion,abril,2004,2004,0,,,964.1432495117188,0. Pure Control,0
393,H1217,1. Follow-up1,11,mango,58,Male,4.0871997,18.229546,-70.459127,peravia,matanzas,mayo,2005,2005,0,,,758.8236083984375,0. Pure Control,0
466,H1200,1. Follow-up1,11,plátano,51,Male,2.5151997,18.218817,-70.496776,peravia,matanzas,mayo,2014,1998,0,,,1712.622802734375,0. Pure Control,0
481,H1214,1. Follow-up1,11,pasto,40,Male,6.099359,18.29356,-70.323998,peravia,villa fundacion,marzo,2001,2001,0,,,0,0. Pure Control,0
515,H1218,1. Follow-up1,11,plátano,44,Male,1.8863997,18.225482,-70.451204,peravia,bani,marzo,2012,2012,0,,,456.6994018554688,0. Pure Control,0
544,H1216,1. Follow-up1,11,plátano,53,Male,5.5963192,18.404163,-70.294353,peravia,sabana buey,septiembre,2014,1996,0,,,15706.0986328125,0. Pure Control,0
568,H1201,1. Follow-up1,11,mango,59,Male,3.5841596,18.219846,-70.486276,peravia,bani,junio,2013,2013,0,,,513.786865234375,0. Pure Control,0
568,H1201,1. Follow-up1,11,plátano,59,Male,3.5841596,18.219846,-70.486276,peravia,bani,enero,2013,2007,0,,,513.786865234375,0. Pure Control,0
793,H1197,1. Follow-up1,12,guineo,61,Male,5.0303993,19.729422,-71.587029,monte cristi,pepillo salcedo manzanillo,mayo,2004,2004,0,,,13802.3701171875,0. Pure Control,0
793,H1197,1. Follow-up1,11,guineo,61,Male,1.2575998,19.728777,-71.601699,monte cristi,pepillo salcedo manzanillo,noviembre,2010,2004,0,,,13802.3701171875,0. Pure Control,0
949,H1702,1. Follow-up1,12,aguacate,65,Male,.94319987,18.614407,-70.730096,azua,peralta,abril,2001,2001,0,,,392.761474609375,1. Contaminated Control,0
949,H1702,1. Follow-up1,11,habichuela negra,65,Male,4.0871997,18.610898,-70.728301,azua,peralta,abril,2014,2012,1,diciembre,,392.761474609375,1. Contaminated Control,0
949,H1702,1. Follow-up1,11,habichuela negra,65,Male,4.0871997,18.610898,-70.728301,azua,peralta,septiembre,2014,2012,1,julio,,392.761474609375,1. Contaminated Control,0
949,H1702,1. Follow-up1,11,cafe,65,Male,4.0871997,18.610898,-70.728301,azua,peralta,febrero,1978,1978,0,,,392.761474609375,1. Contaminated Control,0
1108,H0848,1. Follow-up1,11,plátano,62,Male,1.8863997,19.3168,-70.505895,la vega,concepcion de la vega,febrero,2011,1990,0,,,3767.770263671875,0. Pure Control,0
1109,H0851,1. Follow-up1,21,berenjenas chinas,33,Male,.94319987,19.31678,-70.504563,la vega,concepcion de la vega,marzo,2014,2013,1,diciembre,,3881.945068359375,0. Pure Control,0
